날짜,라운드,승자,패자,결과
2017-12-31,2017 크라운해태배 본선 16강,박현수,김진휘,249수 백 8.5집승
2017-12-31,2017 크라운해태배 본선 16강,강승민,신민준,188수 백 불계승
2017-12-31,제3회 몽백합배 세계바둑오픈전 결승5번기 2국,박정환,박영훈,159수 흑 불계승
2017-12-30,2017 크라운해태배 본선 16강,송지훈,김다영,140수 백 불계승
2017-12-30,2017 크라운해태배 본선 16강,변상일,한승주,244수 백 불계승
2017-12-30,제3회 몽백합배 세계바둑오픈전 결승5번기 1국,박정환,박영훈,284수 백 불계승
2017-12-29,제6기 하찬석국수배 영재바둑대회 본선 20강,김선기,김경은,흑 집승
2017-12-29,제6기 하찬석국수배 영재바둑대회 본선 20강,윤민중,김지명,흑 집승
2017-12-29,제6기 하찬석국수배 영재바둑대회 본선 20강,박상진,박종훈,흑 집승
2017-12-29,제6기 하찬석국수배 영재바둑대회 본선 20강,김영도,오병우,흑 집승
2017-12-29,2017 크라운해태배 본선 16강,설현준,한태희,261수 백 0.5집승
2017-12-29,2017 크라운해태배 본선 16강,이동훈,오정아,187수 흑 불계승
2017-12-26,제1회 신아오배 세계바둑오픈전 결승 5국,커제,펑리야오,265수 흑 0.5집승
2017-12-25,제1회 신아오배 세계바둑오픈전 결승 4국,펑리야오,커제,266수 백 0.5집승
2017-12-24,2017 크라운해태배 본선 16강,신진서,박종훈,153수 흑 불계승
2017-12-24,2017 크라운해태배 본선 16강,박정환,박건호,203수 흑 불계승
2017-12-23,제1회 신아오배 세계바둑오픈전 결승 3국,펑리야오,커제,299수 흑 0.5집승
2017-12-23,2017 크라운해태배 본선 32강,강승민,안정기,180수 백 불계승
2017-12-23,2017 크라운해태배 본선 32강,박정환,권주리,191수 흑 불계승
2017-12-22,2017 크라운해태배 본선 32강,박종훈,최영찬,248수 백 불계승
2017-12-22,2017 크라운해태배 본선 32강,변상일,김선기,198수 백 불계승
2017-12-21,제1회 신아오배 세계바둑오픈전 결승 2국,커제,펑리야오,277수 흑 불계승
2017-12-21,제22기 하림배 프로여자국수전 본선 8강,김채영,오유진,180수 백 불계승
2017-12-20,제1회 신아오배 세계바둑오픈전 결승 1국,커제,펑리야오,198수 백 불계승
2017-12-20,제22기 하림배 프로여자국수전 본선 8강,최 정,박지은,188수 백 불계승
2017-12-19,제23기 GS칼텍스배 프로기전 예선 4회차(결승),최 정,강우혁,흑 집승
